"Trait","Trait.short","N","Nz","Prev","Model","VE_ID","CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprocola","s__Bacteroides_coprocola",3571,6543,20.28,"no-family",0.226956880536972,"0.11-0.34",-10443.5227399372,0.000284203559569552,0.0281361523973856,0.00155642023346304,0.155642023346304,0.268400108979984,"0.21-0.32",-10478.1807063857,1.06331509668042e-19,1.89270087209115e-17,0,0,NA,NA,NA,NA,NA,NA,NA,0.504643010483044,"0.39-0.62",-10436.9368727084,-7.69020374589638e-05,0.00479598652616133,0.987206736547035,0.386541085591659,0.140262428429935,0.00585412753089299,1.10723323260332,0.507258041183266,0.0290519388856445,0.0253024239641759,0.0937916131374437,0.787335067136503
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bromii","s__Ruminococcus_bromii",3571,2835,65.46,"heritability.only",0.218870295689113,"0.1-0.34",-11074.2479375386,0.000362563021277356,0.0355311760851809,0.00155642023346304,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781129704310887,"0.67-0.9",-11067.8899959385,0.00888059558751527,0.00542639428967089,0.101723373734243,-0.131518591414366,0.180671417666565,0.466648148596478,1.84354187875784,0.609102493320026,0.00247277656712376,-0.326935687584635,0.112737520777993,0.00373195636764681
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_goldsteinii","s__Parabacteroides_goldsteinii",3571,6502,20.77,"no-family",0.269748283838574,"0.12-0.41",-9784.90061514684,0.000398164873762617,0.0386219927549738,0.000778210116731518,0.0785992217898833,0.250588622948063,"0.2-0.3",-9817.16057760795,1.65782714406479e-18,2.83488441635079e-16,0,0,NA,NA,NA,NA,NA,NA,NA,0.479663093213364,"0.34-0.63",-9778.63022236278,0.0328912403952677,0.00397476809700376,1.28446291501356e-16,0.0395398473311114,0.117253944270855,0.735954454327148,-0.10063347256845,0.422162504380775,0.811589363684929,-0.158062615931424,0.0780725016640685,0.0429123650564719
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA","s__Lachnospiraceae_bacterium_8_1_57FAA",3571,6187,24.61,"heritability.only",0.238483701384661,"0.1-0.37",-9928.90234147873,0.000454291547232823,0.043611988534351,0.00155642023346304,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761516298615339,"0.63-0.89",-9922.75508426553,0.00385451231088068,0.00394118795288815,0.32807049748527,-0.239384227014573,0.131094862624036,0.0678445079349281,0.572853934284916,0.442003894496899,0.194962322578895,0.0370610401757564,0.081808614997479,0.650533447429678
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprophilus","s__Bacteroides_coprophilus",3571,7405,9.77,"no-family",0.222725587339545,"0.1-0.35",-9868.90746952193,0.000650851426697715,0.0618308855362829,0.00155642023346304,0.155642023346304,0.226271727687388,"0.17-0.28",-9889.57742244176,3.39630063058351e-13,5.33219199001611e-11,0,0,NA,NA,NA,NA,NA,NA,NA,0.551002684973067,"0.42-0.68",-9863.09516819015,0.0106758142277794,0.00405790771705062,0.00851674373209192,0.341371173730577,0.121093803204654,0.00481639231728527,-0.028706858092283,0.433282082434669,0.947175261785365,0.112259284365351,0.0801037349942669,0.161087365625044
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum","s__Bifidobacterium_longum",3571,1144,86.06,"no-family",0.240693258858411,"0.1-0.38",-9904.59916773141,0.00082920005544507,0.0779448052118366,0.00155642023346304,0.155642023346304,0.0704867889430929,"0.01-0.13",-9901.54643504419,0.0243540412196496,0.842670473232924,0.00583657587548638,0.223346303501946,NA,NA,NA,NA,NA,NA,NA,0.688819952198496,"0.55-0.83",-9899.01181441143,-0.0332394737015475,0.00398006002530237,6.74011016189678e-17,0.471422820557145,0.127895674771541,0.000227810803319655,0.922407217830026,0.439551412352891,0.0358592776130244,-0.211405550803522,0.0813028431771671,0.00931631044583891
"k__Bacteria.p__Actinobacteria.c__Actinobacteria","c__Actinobacteria",3571,13,99.84,"no-family",0.20165435611263,"0.08-0.32",-6020.56755670044,0.00106476695290195,0.0990233266198813,0.00194552529182879,0.167315175097276,0.14606707418523,"0.08-0.21",-6025.39858293947,6.37070629062161e-06,0.000722204699809447,0,0,NA,NA,NA,NA,NA,NA,NA,0.652278569702141,"0.54-0.77",-6015.21185031636,-0.013224468741655,0.00136144208996318,2.63916705448867e-22,0.111495381154335,0.0422348183803867,0.00829323236758271,0.210296665587131,0.148036660157039,0.155441358511091,-0.100336920965043,0.0273691200544121,0.000246313177729928
"k__Bacteria.p__Actinobacteria","p__Actinobacteria",3571,13,99.84,"no-family",0.196895144234052,"0.08-0.31",-6022.15914828398,0.00125488606606754,0.115449518078214,0.00233463035019455,0.196108949416342,0.145586996884419,"0.08-0.21",-6027.14737201039,6.3351289456969e-06,0.000722204699809447,0,0,NA,NA,NA,NA,NA,NA,NA,0.657517858881529,"0.54-0.77",-6016.95528107818,-0.0132189898219766,0.00136186975621364,2.82882203165623e-22,0.126740353088072,0.0422629360333476,0.00270997590295293,0.21402175223053,0.148114298907038,0.148464351944741,-0.102036400453085,0.0273831739002175,0.00019435390591957
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Dialister.s__Dialister_invisus","s__Dialister_invisus",3571,4967,39.48,"no-family",0.208538181575666,"0.08-0.34",-11281.0627344171,0.00155686251896276,0.141674489225611,0.00155642023346304,0.155642023346304,0.137991907581228,"0.08-0.2",-11286.4987699412,4.8842614705416e-06,0.000566574330582826,0,0,NA,NA,NA,NA,NA,NA,NA,0.653469910843106,"0.54-0.77",-11276.0576973293,-0.0738786293958244,0.005931446034643,1.30667928382821e-35,-0.464068788190139,0.184691115600393,0.0119819589010887,0.320088092616804,0.646020452093055,0.620263653258801,0.0896480780874862,0.11944248698284,0.45292090356095
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis","s__Bacteroides_faecis",3571,6586,19.75,"no-family",0.210003484919455,"0.08-0.34",-9843.25164288021,0.00198661765091406,0.178795588582265,0.00155642023346304,0.155642023346304,0.269124977323904,"0.21-0.32",-9877.6273033678,8.79331706734028e-19,1.53003716971721e-16,0,0,NA,NA,NA,NA,NA,NA,NA,0.520871537756642,"0.41-0.64",-9838.47071310777,-0.0119634597816787,0.00405769917995263,0.00319489807752275,0.142147212073238,0.118622669324151,0.230794776352253,0.858707737857675,0.429068044586371,0.0453565907761738,0.0805037532123687,0.0793265043835809,0.310181841495361
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis","s__Bacteroides_uniformis",3571,115,98.6,"no-family",0.21921125968311,"0.08-0.36",-7939.24578881555,0.00227096480176573,0.20211586735715,0.00155642023346304,0.155642023346304,0.0541495601634673,"0-0.12",-7936.00271539645,0.0924966674264546,1,0.0147859922178988,0.327237354085603,NA,NA,NA,NA,NA,NA,NA,0.726639180153422,"0.61-0.84",-7934.58752710263,0.00632679592924578,0.00228618691773223,0.00565052069584514,-0.127956819113423,0.0741088388960331,0.0842383185746902,-0.122523736112508,0.253564001851039,0.628949226242326,-0.0015120830079036,0.0469060785708049,0.974283530008814
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii","s__Bacteroides_eggerthii",3571,5309,35.31,"full model",0.210274640082595,"0.07-0.34",-10999.0218312231,0.00255667135105545,0.22498707889288,0.00155642023346304,0.155642023346304,0.257201054697667,"0.19-0.32",-11021.9515666223,1.2306687722378e-13,1.94445666013572e-11,0,0,0.0500820184035158,"0-0.11",-10996.2348369864,0.0604279820708954,1,0,0,0.482442286816222,"0.36-0.61",-10994.472037427,0.0309102485038395,0.00562556964008226,3.91599520835593e-08,0.408856780774561,0.161921643477601,0.0115688873777116,-0.161262184359202,0.590974486945578,0.784949276962891,-0.128467228624996,0.10926177541882,0.2396849284079
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella.s__Sutterella_wadsworthensis","s__Sutterella_wadsworthensis",3571,2303,71.94,"no-family",0.186269439740831,"0.06-0.31",-11402.3595781872,0.0033875861625977,0.294719996146,0.00389105058365759,0.307392996108949,0.247038640646392,"0.19-0.3",-11434.6283994064,1.21777447410359e-17,2.0702166059761e-15,0,0,NA,NA,NA,NA,NA,NA,NA,0.566691919612777,"0.45-0.68",-11398.0665817102,-0.0452734527288625,0.00625991213474188,4.74943064987001e-13,0.894902840647104,0.184983027725451,1.31312885074909e-06,0.669052603475962,0.665333182305903,0.314612685309695,0.230403064615187,0.122985526941923,0.0610109503100327
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales","o__Bifidobacteriales",3571,505,93.85,"no-family",0.213114398435066,"0.07-0.35",-9241.5595158316,0.00358830134674623,0.308593915820176,0.00155642023346304,0.155642023346304,0.157600315648476,"0.1-0.22",-9249.24787657802,1.03712784178587e-06,0.000126529596697876,0,0,NA,NA,NA,NA,NA,NA,NA,0.629285285916457,"0.48-0.78",-9237.31890267279,-0.0311377715487061,0.00336438399357013,2.13993497153849e-20,0.511031960957401,0.103765460680377,8.44141408514494e-07,0.735541800952145,0.364806517139567,0.0437736511136783,-0.198249603495761,0.0674454163463006,0.00328839767858251
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae","f__Bifidobacteriaceae",3571,505,93.85,"no-family",0.211495383800873,"0.07-0.35",-9239.13827134536,0.00372746930816524,0.316834891194045,0.00155642023346304,0.155642023346304,0.157663782422201,"0.1-0.22",-9246.88198734178,1.01500306690793e-06,0.000124845377229675,0,0,NA,NA,NA,NA,NA,NA,NA,0.630840833776926,"0.49-0.78",-9234.93225808048,-0.0313413494532433,0.00336211314764745,1.14253851860054e-20,0.504353147261598,0.103695883243951,1.15169494913313e-06,0.716371152108103,0.364565942354868,0.049414531089278,-0.197915260864542,0.0674005967687194,0.00332043498996007
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales","o__Enterobacteriales",3571,2094,74.49,"heritability.only",0.184236367476162,"0.06-0.31",-10578.3164403225,0.00430880086075834,0.361939272303701,0.00389105058365759,0.307392996108949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815763632523838,"0.69-0.94",-10574.2420054618,0.0167527827833045,0.0047176981006995,0.000383697224916467,0.177652917149231,0.157359950091023,0.258915169349125,0.553657518274346,0.530422054294707,0.296575333512586,-0.10126105465337,0.0981774770509697,0.302349438234859
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__Holdemania_filiformis","s__Holdemania_filiformis",3571,5799,29.34,"heritability.only",0.184673750528491,"0.06-0.31",-9594.63573960263,0.0043652536629798,0.362316054027323,0.00389105058365759,0.307392996108949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815326249471509,"0.69-0.94",-9590.57310572558,-0.0015642703840592,0.00358186479823322,0.662314749091558,-0.462958922489344,0.119471128124486,0.00010659428029638,1.27433944402356,0.402708956813814,0.00155393479742421,-0.0237497048021694,0.0745386296326204,0.750012583144423
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Mitsuokella.s__Mitsuokella_multacida","s__Mitsuokella_multacida",3571,7412,9.69,"no-family",0.213693435284019,"0.07-0.35",-8895.08655276017,0.00445203112863393,0.365066552547982,0.00155642023346304,0.155642023346304,0.311642878464247,"0.26-0.36",-8949.03265988444,4.79678231265599e-27,8.82607945528702e-25,0,0,NA,NA,NA,NA,NA,NA,NA,0.474663686251734,"0.33-0.63",-8891.04175935975,0.0154717687594682,0.0031303374996539,7.71175402220896e-07,0.592698808972496,0.0896472811152445,3.80565283039542e-11,0.0077822365344564,0.327769993397471,0.981057622243017,-0.0465111758771329,0.0606111624767775,0.442861676460381
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae","f__Enterobacteriaceae",3571,2094,74.49,"heritability.only",0.181957009584592,"0.05-0.31",-10578.4582043436,0.00480382235304014,0.389109610596251,0.00389105058365759,0.307392996108949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818042990415408,"0.7-0.94",-10574.4822789204,0.0167667801615008,0.00471744970571645,0.000379124539519275,0.172888068122459,0.157371145632285,0.271942224088582,0.554330905267557,0.530453662269386,0.296017020228414,-0.103173257287809,0.0981835409757412,0.293341133781063
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium","g__Bifidobacterium",3571,513,93.75,"no-family",0.201567923802517,"0.06-0.34",-9267.31526022222,0.00528482021495153,0.422785617196122,0.00194552529182879,0.167315175097276,0.157886338230732,"0.1-0.22",-9275.13990063268,1.29637940714987e-06,0.000156861908265134,0,0,NA,NA,NA,NA,NA,NA,NA,0.640545737966751,"0.5-0.79",-9263.42560904376,-0.031628608363337,0.00338876770510697,1.02561205693235e-20,0.520384503231495,0.104529746769912,6.41322953234002e-07,0.764889423191084,0.367506540780486,0.037406938083717,-0.202659810078577,0.0679421878033856,0.00285599132628996
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella","g__Paraprevotella",3571,4025,50.96,"no-family",0.177088089990831,"0.05-0.3",-11494.3062628233,0.00616679213577968,0.487176578726595,0.00428015564202335,0.312451361867704,0.310763503521131,"0.26-0.36",-11549.0115929283,3.00157063486104e-27,5.55290567449292e-25,0,0,NA,NA,NA,NA,NA,NA,NA,0.512148406488038,"0.4-0.63",-11490.5558092227,0.00885069639000333,0.00648826163430502,0.172533248058017,1.27016323556591,0.185815764074905,8.16594481529277e-12,-0.448891191848,0.67922053333036,0.508681789185506,0.0369962882152342,0.125568520636256,0.768276329405839
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus","g__Anaerotruncus",3571,6678,18.63,"no-family",0.179370662556698,"0.05-0.31",-9296.56157983225,0.00621684350650663,0.487176578726595,0.00389105058365759,0.307392996108949,0.0566922389485754,"0-0.12",-9294.54500309291,0.0631295612675394,1,0.01284046692607,0.327237354085603,NA,NA,NA,NA,NA,NA,NA,0.763937098494726,"0.65-0.88",-9292.81840472576,-0.00772101962965346,0.00334128050421681,0.0208440923939392,-0.569515026254147,0.108356077105387,1.47255630829634e-07,1.45898558007646,0.370928523058573,8.37758810952634e-05,0.0305470635322698,0.0686138910205979,0.656173549606018
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella","g__Sutterella",3571,2293,72.06,"no-family",0.173520026607913,"0.05-0.3",-11398.6884326465,0.00641499709381716,0.493954776223921,0.0046692607003891,0.336186770428016,0.243212670947766,"0.19-0.3",-11430.2933669936,4.28792186365889e-17,7.20370873094693e-15,0,0,NA,NA,NA,NA,NA,NA,NA,0.583267302444321,"0.47-0.7",-11394.9734975758,-0.045074532028285,0.0062508793364963,5.55789396011174e-13,0.887183786938836,0.18507838745133,1.63849933066423e-06,0.644374284550795,0.665009847500279,0.332560388185979,0.258557557689656,0.122917511923542,0.0354216793901178
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_unclassified","s__Paraprevotella_unclassified",3571,4025,50.96,"no-family",0.174743537228339,"0.05-0.3",-11413.6594194625,0.00700244509856467,0.532185827490915,0.0046692607003891,0.336186770428016,0.311015444993578,"0.26-0.36",-11468.6408866581,2.54956188183566e-27,4.74218510021433e-25,0,0,NA,NA,NA,NA,NA,NA,NA,0.514241017778084,"0.4-0.63",-11410.0232486249,0.00908360220937818,0.00634415637752347,0.152199302599528,1.24332791670008,0.181662431064775,7.69224384928228e-12,-0.433087938171375,0.664079956497997,0.514296451916698,0.0326286776361789,0.122767647187214,0.790411831776296
